choice,otherchoice,id,payoff,round,pa,pb,econ
0,1,7,0,86,0,0,1
1,0,7,0,87,0,0,1
1,1,7,1,88,0,1,1
0,1,7,0,89,0,0,1
1,1,7,0,90,0,0,1
0,1,7,0,91,0,0,1
1,1,7,0,92,0,0,1
0,1,7,0,93,0,0,1
0,1,7,0,94,0,0,1
1,0,7,1,95,0,1,1
0,1,7,0,96,0,1,1
0,1,7,0,97,0,0,1
1,1,7,0,98,0,0,1
1,1,7,0,99,0,0,1
0,1,7,0,100,0,0,1
0,0,8,0,1,0,0,0
0,0,8,1,2,1,0,0
0,0,8,0,3,0,1,0
0,0,8,0,4,0,1,0
0,0,8,0,5,0,0,0
0,1,8,0,6,0,0,0
0,0,8,0,7,0,1,0
0,1,8,0,8,0,0,0
0,0,8,0,9,0,1,0
0,1,8,0,10,0,0,0
1,0,8,0,11,0,0,0
0,1,8,0,12,0,0,0
1,0,8,0,13,0,0,0
0,1,8,0,14,0,0,0
0,0,8,1,15,1,0,0
0,0,8,0,16,0,0,0
0,0,8,1,17,1,0,0
0,1,8,0,18,0,1,0
0,0,8,1,19,1,0,0
0,1,8,0,20,0,0,0
0,0,8,0,21,0,0,0
0,0,8,0,22,0,0,0
0,0,8,0,23,0,0,0
0,0,8,0,24,0,0,0
0,0,8,1,25,1,0,0
0,0,8,0,26,0,0,0
0,1,8,0,27,0,0,0
0,1,8,0,28,0,0,0
0,1,8,0,29,0,1,0
0,1,8,0,30,0,0,0
0,1,8,0,31,0,0,0
0,1,8,0,32,0,0,0
0,0,8,0,33,0,1,0
0,0,8,0,34,0,0,0
0,1,8,0,35,0,0,0
0,1,8,0,36,0,0,0
0,1,8,0,37,0,0,0
1,0,8,0,38,1,0,0
1,1,8,1,39,0,1,0
1,1,8,0,40,0,0,0
0,1,8,0,41,0,0,0
1,1,8,1,42,0,1,0
1,1,8,0,43,0,0,0
0,1,8,0,44,0,0,0
1,1,8,1,45,0,1,0
1,0,8,0,46,0,0,0
0,1,8,0,47,0,0,0
1,0,8,0,48,1,0,0
0,0,8,0,49,0,0,0
1,1,8,0,50,0,0,0
0,1,8,0,51,0,0,0
1,0,8,0,52,0,0,0
0,1,8,0,53,0,0,0
0,1,8,0,54,0,0,0
1,0,8,0,55,0,0,0
0,1,8,0,56,0,0,0
1,1,8,0,57,0,0,0
1,0,8,1,58,0,1,0
1,0,8,0,59,1,0,0
0,0,8,0,60,0,0,0
1,1,8,0,61,0,0,0
1,1,8,0,62,0,0,0
1,0,8,0,63,0,0,0
1,1,8,0,64,0,0,0
1,0,8,0,65,0,0,0
1,1,8,0,66,0,0,0
1,0,8,0,67,0,0,0
1,1,8,0,68,0,0,0
1,1,8,0,69,0,0,0
1,0,8,0,70,0,0,0
1,0,8,1,71,0,1,0
1,0,8,0,72,1,0,0
1,1,8,1,73,0,1,0
1,1,8,0,74,0,0,0
1,1,8,0,75,0,0,0
1,0,8,0,76,1,0,0
1,1,8,0,77,0,0,0
1,1,8,0,78,0,0,0
1,0,8,0,79,0,0,0
1,1,8,0,80,0,0,0
1,0,8,0,81,0,0,0
1,1,8,0,82,0,0,0
1,1,8,0,83,0,0,0
1,0,8,0,84,0,0,0
1,1,8,0,85,0,0,0
1,1,8,0,86,0,0,0
1,1,8,0,87,0,0,0
1,1,8,0,88,0,0,0
1,1,8,0,89,0,0,0
1,1,8,0,90,0,0,0
1,1,8,0,91,0,0,0
1,0,8,0,92,0,0,0
1,1,8,0,93,0,0,0
1,1,8,0,94,0,0,0
1,1,8,1,95,0,1,0
1,1,8,0,96,0,0,0
1,1,8,0,97,0,0,0
1,1,8,0,98,0,0,0
1,0,8,0,99,0,0,0
1,0,8,0,100,0,0,0
0,0,9,0,1,0,1,0
0,1,9,0,2,0,0,0
1,1,9,1,3,0,1,0
1,0,9,1,4,0,1,0
1,0,9,0,5,0,0,0
1,0,9,0,6,0,0,0
1,0,9,0,7,1,0,0
0,0,9,0,8,0,1,0
1,1,9,1,9,0,1,0
1,0,9,0,10,0,0,0
1,1,9,1,11,0,1,0
0,0,9,1,12,1,0,0
0,1,9,0,13,0,0,0
1,1,9,0,14,0,0,0
1,1,9,0,15,0,0,0
1,1,9,1,16,0,1,0
0,0,9,0,17,0,1,0
1,1,9,0,18,0,0,0
0,0,9,1,19,1,0,0
0,1,9,0,20,0,0,0
1,0,9,0,21,0,0,0
1,0,9,1,22,0,1,0
1,0,9,0,23,0,0,0
0,1,9,0,24,0,0,0
0,0,9,1,25,1,0,0
1,1,9,0,26,0,0,0
0,1,9,0,27,0,0,0
0,1,9,0,28,0,1,0
1,1,9,0,29,0,0,0
0,1,9,0,30,0,0,0
1,0,9,0,31,1,0,0
0,1,9,0,32,0,0,0
1,1,9,0,33,0,0,0
0,0,9,0,34,0,0,0
0,1,9,0,35,0,0,0
0,1,9,0,36,0,0,0
1,1,9,0,37,0,0,0
1,1,9,1,38,0,1,0
1,1,9,0,39,0,0,0
0,1,9,0,40,0,0,0
1,1,9,0,41,0,0,0
1,1,9,0,42,0,0,0
0,1,9,0,43,0,0,0
0,1,9,0,44,0,0,0
1,0,9,0,45,1,0,0
0,1,9,0,46,0,0,0
0,1,9,0,47,0,1,0
1,1,9,0,48,0,0,0
0,0,9,0,49,0,1,0
1,1,9,0,50,0,0,0
0,1,9,0,51,0,0,0
1,0,9,0,52,0,0,0
1,0,9,0,53,1,0,0
0,1,9,0,54,0,0,0
0,1,9,0,55,0,0,0
0,1,9,0,56,0,0,0
1,1,9,0,57,0,0,0
1,0,9,1,58,0,1,0
1,1,9,0,59,0,0,0
1,0,9,0,60,0,0,0
1,1,9,0,61,0,0,0
1,0,9,1,62,0,1,0
1,1,9,0,63,0,0,0
1,1,9,0,64,0,0,0
1,1,9,0,65,0,0,0
1,1,9,0,66,0,0,0
1,0,9,0,67,0,0,0
1,1,9,0,68,0,0,0
1,1,9,0,69,0,0,0
1,1,9,0,70,0,0,0
0,1,9,0,71,0,0,0
1,1,9,0,72,0,0,0
1,1,9,0,73,0,0,0
1,1,9,0,74,0,0,0
0,1,9,0,75,0,0,0
0,0,9,0,76,0,1,0
0,1,9,0,77,0,0,0
1,1,9,1,78,0,1,0
1,1,9,0,79,0,0,0
1,1,9,0,80,0,0,0
1,1,9,0,81,0,0,0
1,1,9,0,82,0,0,0
1,1,9,0,83,0,0,0
0,1,9,0,84,0,0,0
1,1,9,0,85,0,0,0
1,1,9,0,86,0,0,0
0,1,9,0,87,0,0,0
1,1,9,0,88,0,0,0
1,0,9,0,89,0,0,0
0,1,9,0,90,0,0,0
0,1,9,0,91,0,0,0
1,1,9,0,92,0,0,0
1,1,9,0,93,0,0,0
1,0,9,0,94,1,0,0
0,0,9,0,95,0,1,0
1,0,9,1,96,0,1,0
1,1,9,0,97,0,0,0
1,0,9,0,98,1,0,0
0,1,9,0,99,0,0,0
0,1,9,0,100,0,0,0
0,1,10,0,1,0,0,0
0,0,10,0,2,0,0,0
0,0,10,0,3,0,0,0
0,0,10,0,4,0,0,0
0,1,10,0,5,0,0,0
0,1,10,0,6,0,0,0
1,1,10,0,7,0,0,0
1,0,10,0,8,0,0,0
1,1,10,1,9,0,1,0
0,0,10,0,10,0,0,0
0,1,10,0,11,0,0,0
1,1,10,0,12,0,0,0
1,0,10,1,13,0,1,0
1,0,10,0,14,0,0,0
1,1,10,0,15,0,0,0
0,0,10,1,16,1,0,0
0,1,10,0,17,0,0,0
1,0,10,1,18,0,1,0
1,0,10,1,19,0,1,0
1,0,10,1,20,0,1,0
1,1,10,0,21,0,0,0
1,1,10,0,22,0,0,0
1,1,10,0,23,0,0,0
1,0,10,0,24,1,0,0
1,0,10,1,25,0,1,0
1,1,10,0,26,0,0,0
1,0,10,1,27,0,1,0
1,1,10,0,28,0,0,0
1,1,10,0,29,0,0,0
1,0,10,0,30,0,0,0
1,0,10,0,31,0,0,0
1,0,10,0,32,0,0,0
1,0,10,1,33,0,1,0
1,1,10,0,34,0,0,0
1,0,10,0,35,0,0,0
1,0,10,1,36,0,1,0
1,0,10,1,37,0,1,0
1,1,10,0,38,0,0,0
1,1,10,0,39,0,0,0
1,1,10,1,40,0,1,0
1,1,10,1,41,0,1,0
1,1,10,1,42,0,1,0
1,0,10,0,43,0,0,0
1,0,10,0,44,1,0,0
1,1,10,0,45,0,0,0
1,1,10,1,46,0,1,0
1,0,10,1,47,0,1,0
1,1,10,0,48,0,0,0
1,1,10,0,49,0,0,0
1,1,10,0,50,0,0,0
1,0,10,1,51,0,1,0
1,0,10,0,52,0,0,0
1,1,10,0,53,0,0,0
1,0,10,0,54,1,0,0
1,0,10,0,55,1,0,0
1,0,10,0,56,0,0,0
1,1,10,0,57,0,0,0
1,0,10,0,58,1,0,0
1,0,10,1,59,0,1,0
1,1,10,0,60,0,0,0
1,1,10,1,61,0,1,0
1,1,10,0,62,0,0,0
1,1,10,0,63,0,0,0
1,1,10,0,64,0,0,0
1,0,10,0,65,1,0,0
1,0,10,1,66,0,1,0
1,1,10,0,67,0,0,0
1,0,10,1,68,0,1,0
1,1,10,0,69,0,0,0
1,1,10,0,70,0,0,0
1,0,10,0,71,0,0,0
1,1,10,0,72,0,0,0
1,0,10,0,73,0,0,0
1,1,10,0,74,0,0,0
1,1,10,0,75,0,0,0
1,1,10,0,76,0,0,0
1,0,10,1,77,0,1,0
1,1,10,0,78,0,0,0
1,1,10,1,79,0,1,0
1,0,10,0,80,0,0,0
1,0,10,1,81,0,1,0
1,1,10,0,82,0,0,0
1,0,10,0,83,0,0,0
1,1,10,0,84,0,0,0
1,1,10,0,85,0,0,0
1,1,10,0,86,0,0,0
1,1,10,0,87,0,0,0
1,0,10,1,88,0,1,0
1,1,10,0,89,0,0,0
1,1,10,0,90,0,0,0
1,1,10,0,91,0,0,0
1,1,10,0,92,0,0,0
1,0,10,0,93,1,0,0
1,1,10,1,94,0,1,0
1,1,10,0,95,0,0,0
1,1,10,1,96,0,1,0
1,1,10,0,97,0,0,0
1,1,10,0,98,0,0,0
1,1,10,0,99,0,0,0
1,1,10,0,100,0,0,0
0,1,11,0,1,0,1,1
1,1,11,0,2,0,0,1
1,1,11,0,3,0,0,1
1,1,11,0,4,0,0,1
1,1,11,1,5,0,1,1
1,1,11,0,6,0,0,1
1,1,11,0,7,0,0,1
1,1,11,0,8,0,0,1
1,1,11,0,9,0,0,1
1,1,11,0,10,0,0,1
1,1,11,0,11,0,0,1
1,1,11,0,12,0,0,1
1,1,11,0,13,0,0,1
1,1,11,0,14,0,0,1
1,1,11,0,15,0,0,1
1,0,11,0,16,1,0,1
1,1,11,0,17,0,0,1
1,1,11,0,18,0,0,1
1,0,11,0,19,0,0,1
0,0,11,0,20,0,1,1
0,0,11,0,21,0,1,1
0,1,11,0,22,0,0,1
0,1,11,0,23,0,0,1
1,1,11,0,24,0,0,1
1,0,11,1,25,0,1,1
1,1,11,0,26,0,0,1
1,1,11,0,27,0,0,1
1,1,11,0,28,0,0,1
1,1,11,0,29,0,0,1
1,1,11,1,30,0,1,1
1,1,11,0,31,0,0,1
1,1,11,1,32,0,1,1
1,1,11,0,33,0,0,1
1,1,11,0,34,0,0,1
1,1,11,0,35,0,0,1
1,1,11,0,36,0,0,1
1,1,11,0,37,0,0,1
1,1,11,0,38,0,0,1
1,0,11,0,39,1,0,1
1,1,11,0,40,0,0,1
1,0,11,0,41,0,0,1
1,1,11,0,42,0,0,1
1,1,11,1,43,0,1,1
1,0,11,0,44,1,0,1
1,0,11,0,45,0,0,1
0,1,11,0,46,0,0,1
1,1,11,1,47,0,1,1
1,1,11,0,48,0,0,1
1,1,11,0,49,0,0,1
1,1,11,0,50,0,0,1
1,0,11,0,51,1,0,1
1,1,11,1,52,0,1,1
0,1,11,0,53,0,0,1
1,1,11,0,54,0,0,1
1,1,11,0,55,0,0,1
1,1,11,0,56,0,0,1
1,1,11,0,57,0,0,1
1,1,11,0,58,0,0,1
1,1,11,0,59,0,0,1
1,1,11,0,60,0,0,1
1,1,11,0,61,0,0,1
1,1,11,1,62,0,1,1
1,0,11,0,63,0,0,1
0,1,11,0,64,0,0,1
1,1,11,1,65,0,1,1
1,1,11,0,66,0,0,1
1,1,11,0,67,0,0,1
1,1,11,1,68,0,1,1
1,1,11,0,69,0,0,1
1,1,11,0,70,0,0,1
1,1,11,0,71,1,0,1
1,0,11,0,72,0,0,1
1,1,11,0,73,0,0,1
1,1,11,0,74,0,0,1
1,0,11,0,75,1,0,1
1,1,11,0,76,0,0,1
1,1,11,0,77,0,0,1
1,1,11,0,78,0,0,1
1,1,11,0,79,0,0,1
1,1,11,0,80,0,0,1
1,1,11,0,81,0,0,1
1,1,11,0,82,0,0,1
1,1,11,0,83,0,0,1
1,1,11,0,84,0,0,1
1,1,11,0,85,0,0,1
1,1,11,0,86,0,0,1
1,1,11,0,87,0,0,1
1,1,11,0,88,0,0,1
1,1,11,0,89,0,0,1
1,1,11,0,90,0,0,1
1,1,11,0,91,0,0,1
1,0,11,0,92,1,0,1
1,1,11,0,93,0,0,1
1,1,11,0,94,0,0,1
1,1,11,0,95,0,0,1
1,0,11,1,96,0,1,1
1,0,11,0,97,0,0,1
1,1,11,0,98,0,0,1
1,1,11,0,99,0,0,1
1,1,11,0,100,0,0,1
1,1,12,0,1,0,0,0
1,1,12,0,2,0,0,0
1,1,12,0,3,0,0,0
0,0,12,1,4,1,0,0
1,1,12,0,5,0,0,0
0,1,12,0,6,0,0,0
1,1,12,0,7,0,0,0
1,1,12,1,8,0,1,0
1,1,12,0,9,0,0,0
1,1,12,0,10,0,0,0
0,1,12,0,11,0,1,0
1,1,12,0,12,0,0,0
1,1,12,0,13,0,0,0
1,1,12,1,14,0,1,0
1,1,12,0,15,0,0,0
1,1,12,1,16,0,1,0
1,1,12,1,17,0,1,0
1,1,12,0,18,0,0,0
1,0,12,0,19,1,0,0
0,1,12,0,20,0,0,0
1,1,12,0,21,0,0,0
1,1,12,0,22,0,0,0
1,0,12,0,23,0,0,0
1,1,12,0,24,0,0,0
0,1,12,0,25,0,0,0
1,1,12,0,26,0,0,0
1,1,12,0,27,0,0,0
1,1,12,0,28,0,0,0
1,1,12,1,29,0,1,0
1,1,12,0,30,0,0,0
1,1,12,0,31,0,0,0
1,1,12,0,32,0,0,0
0,1,12,0,33,0,0,0
0,1,12,0,34,0,0,0
1,1,12,1,35,0,1,0
1,1,12,1,36,0,1,0
1,0,12,1,37,0,1,0
1,1,12,0,38,0,0,0
1,1,12,0,39,0,0,0
1,1,12,0,40,0,0,0
0,1,12,0,41,0,0,0
0,0,12,0,42,0,0,0
1,1,12,0,43,0,0,0
1,1,12,0,44,0,0,0
1,1,12,0,45,0,0,0
1,1,12,0,46,0,0,0
1,1,12,0,47,0,0,0
0,1,12,0,48,0,1,0
1,1,12,0,49,0,0,0
1,1,12,1,50,0,1,0
1,1,12,0,51,0,0,0
1,1,12,1,52,0,1,0
1,1,12,0,53,0,0,0
0,1,12,0,54,0,0,0
1,0,12,0,55,0,0,0
1,1,12,0,56,0,0,0
1,1,12,0,57,0,0,0
1,0,12,0,58,0,0,0
1,1,12,0,59,0,0,0
1,0,12,0,60,0,0,0
1,1,12,0,61,0,0,0
1,0,12,0,62,0,0,0
0,1,12,0,63,0,0,0
1,1,12,0,64,0,0,0
1,1,12,0,65,0,0,0
0,0,12,0,66,0,1,0
1,1,12,0,67,0,0,0
1,1,12,0,68,0,0,0
1,1,12,0,69,0,0,0
1,1,12,0,70,0,0,0
1,1,12,0,71,0,0,0
0,1,12,0,72,0,0,0
1,1,12,0,73,0,0,0
1,1,12,0,74,0,0,0
1,1,12,0,75,0,0,0
1,0,12,0,76,1,0,0
0,1,12,0,77,0,0,0
0,1,12,0,78,0,0,0
1,1,12,0,79,0,0,0
1,0,12,1,80,0,1,0
1,1,12,0,81,0,0,0
1,1,12,0,82,0,0,0
1,1,12,0,83,0,0,0
1,1,12,1,84,0,1,0
1,0,12,0,85,0,0,0
1,1,12,0,86,0,0,0
1,1,12,0,87,0,0,0
1,1,12,0,88,0,0,0
1,1,12,0,89,0,0,0
1,1,12,0,90,0,0,0
1,0,12,0,91,0,0,0
1,1,12,0,92,0,0,0
1,1,12,0,93,0,0,0
1,1,12,0,94,0,0,0
1,1,12,0,95,0,0,0
0,1,12,0,96,0,0,0
1,1,12,0,97,0,0,0
1,0,12,0,98,0,0,0
1,1,12,1,99,0,1,0
1,1,12,0,100,0,0,0
1,1,13,1,1,0,1,0
1,1,13,0,2,0,0,0
1,1,13,1,3,0,1,0
1,1,13,0,4,0,0,0
1,1,13,0,5,0,0,0
1,1,13,1,6,0,1,0
1,1,13,0,7,0,0,0
1,0,13,1,8,0,1,0
1,0,13,0,9,1,0,0
1,0,13,0,10,0,0,0
1,1,13,1,11,0,1,0
1,0,13,1,12,0,1,0
1,0,13,1,13,0,1,0
1,1,13,0,14,0,0,0
1,1,13,0,15,0,0,0
1,1,13,0,16,0,0,0
1,0,13,0,17,0,0,0
1,1,13,0,18,0,0,0
1,0,13,1,19,0,1,0
1,1,13,1,20,0,1,0
1,1,13,0,21,0,0,0
1,1,13,0,22,0,0,0
1,1,13,0,23,0,0,0
1,1,13,0,24,0,0,0
1,1,13,0,25,0,0,0
1,1,13,0,26,0,0,0
1,1,13,0,27,0,0,0
1,1,13,0,28,0,0,0
1,1,13,0,29,0,0,0
1,1,13,1,30,0,1,0
1,1,13,1,31,0,1,0
1,1,13,1,32,0,1,0
1,1,13,0,33,0,0,0
1,1,13,1,34,0,1,0
1,1,13,0,35,0,0,0
1,0,13,0,36,1,0,0
1,1,13,1,37,0,1,0
1,1,13,0,38,0,0,0
1,1,13,0,39,0,0,0
1,0,13,0,40,1,0,0
1,1,13,0,41,0,0,0
1,0,13,0,42,0,0,0
1,1,13,0,43,0,0,0
1,0,13,1,44,0,1,0
1,1,13,1,45,0,1,0
1,0,13,0,46,0,0,0
1,0,13,0,47,0,0,0
1,0,13,1,48,0,1,0
1,1,13,0,49,0,0,0
1,1,13,0,50,0,0,0
1,1,13,0,51,0,0,0
1,1,13,0,52,0,0,0
1,0,13,0,53,0,0,0
1,1,13,0,54,0,0,0
1,1,13,0,55,0,0,0
1,0,13,1,56,0,1,0
1,1,13,0,57,0,0,0
1,1,13,0,58,0,0,0
1,1,13,1,59,0,1,0
1,1,13,0,60,0,0,0
1,1,13,0,61,0,0,0
1,0,13,0,62,1,0,0
1,1,13,1,63,0,1,0
1,0,13,1,64,0,1,0
1,1,13,0,65,0,0,0
1,1,13,0,66,0,0,0
1,1,13,0,67,0,0,0
1,1,13,0,68,0,0,0
1,0,13,1,69,0,1,0
1,1,13,0,70,0,0,0
1,1,13,0,71,0,0,0
1,0,13,0,72,0,0,0
1,1,13,0,73,0,0,0
1,1,13,0,74,0,0,0
1,1,13,1,75,0,1,0
1,1,13,0,76,0,0,0
1,1,13,0,77,0,0,0
1,1,13,0,78,0,0,0
1,1,13,0,79,0,0,0
1,1,13,0,80,0,0,0
1,1,13,0,81,0,0,0
1,1,13,0,82,0,0,0
1,1,13,0,83,0,0,0
1,0,13,0,84,1,0,0
1,1,13,0,85,0,0,0
1,0,13,0,86,0,0,0
1,1,13,0,87,0,0,0
1,0,13,0,88,1,0,0
1,1,13,0,89,0,0,0
1,1,13,0,90,0,0,0
1,0,13,0,91,1,0,0
1,1,13,0,92,0,0,0
1,1,13,0,93,0,0,0
1,1,13,0,94,0,0,0
1,0,13,0,95,0,0,0
1,0,13,0,96,0,0,0
1,1,13,0,97,0,0,0
1,1,13,0,98,0,0,0
1,1,13,1,99,0,1,0
1,1,13,0,100,0,0,0
1,0,14,0,1,0,0,1
1,1,14,0,2,0,0,1
1,0,14,1,3,0,1,1
1,1,14,0,4,0,0,1
1,1,14,0,5,0,0,1
1,0,14,1,6,0,1,1
1,1,14,0,7,0,0,1
1,1,14,0,8,0,0,1
1,1,14,1,9,0,1,1
1,0,14,0,10,1,0,1
1,0,14,0,11,0,0,1
1,1,14,0,12,0,0,1
1,0,14,0,13,0,0,1
1,1,14,0,14,0,0,1
1,0,14,0,15,0,0,1
1,0,14,1,16,0,1,1
1,1,14,0,17,0,0,1
1,1,14,0,18,0,0,1
1,0,14,0,19,1,0,1
1,1,14,0,20,0,0,1
1,1,14,0,21,0,0,1
1,0,14,1,22,0,1,1
1,1,14,0,23,0,0,1
1,1,14,0,24,0,0,1
1,0,14,1,25,0,1,1
1,1,14,0,26,0,0,1
1,1,14,0,27,0,0,1
1,1,14,0,28,0,0,1
1,1,14,0,29,0,0,1
1,0,14,1,30,0,1,1
1,1,14,0,31,0,0,1
1,1,14,0,32,0,0,1
1,1,14,0,33,0,0,1
1,1,14,1,34,0,1,1
1,0,14,0,35,1,0,1
1,1,14,0,36,0,0,1
1,1,14,0,37,0,0,1
1,1,14,0,38,0,0,1
1,1,14,1,39,0,1,1
1,1,14,0,40,0,0,1
1,0,14,0,41,0,0,1
1,1,14,0,42,0,0,1
1,1,14,0,43,0,0,1
1,1,14,0,44,0,0,1
1,1,14,0,45,0,0,1
1,1,14,0,46,0,0,1
1,1,14,0,47,0,0,1
1,0,14,0,48,1,0,1
